Unnamed: 0,hash,date,files,deletions,insertions,lines,is_reverted
5495,52a1a0182d4a93ea49be228bd3ec386acb1f23b0,2023-04-07 10:01:45+00:00,12,40,98,138,False
5496,39b4a3bcb12699a7a113f35744f4f5e8ce0e8433,2023-04-07 10:13:27+00:00,28,997,9677,10674,False
5497,988870a89ac4d35cb808ca2c04a78db888df0e0c,2023-04-07 10:53:15+00:00,19,34,74,108,False
5505,9f2bf6b370c40fae42752ca0ef9653fa99722f73,2023-04-10 03:44:18+00:00,37,313,1451,1764,False
5538,c9d584e483de7f4cbc92099fe5b8f6a52ae12de0,2023-04-11 07:55:46+00:00,15,70,122,192,False
5539,f53e68885847287ff2c0f75d8bc1cff3c5d73630,2023-04-11 10:39:37+00:00,12,38,65,103,False
5549,99896445c3e8ac112db0550a7671d0d0884e231e,2023-04-12 01:08:12+00:00,15,30,170,200,False
5552,fb38f4564d87112ac41ed8afcb4069eb5ad550d1,2023-04-12 05:41:48+00:00,19,40,67,107,False
5554,729a550b5d21b9d5cb85dbe7d05b68482c820330,2023-04-12 09:14:39+00:00,76,4691,206,4897,False
5557,8f1a5edbd9fe6bbeb5f4cbe777d73298209cbe77,2023-04-12 09:43:57+00:00,27,0,0,0,False
5558,412dfd5047be10258379da0b39afee18b9fa8e83,2023-04-12 10:36:30+00:00,10,17,577,594,False
5565,746dbdde50b1ee286578fd19c3da0f1a142115fa,2023-04-13 04:50:35+00:00,29,4,7,11,False
5568,5bbdc9280d3b7f7155ee008422cf7f8ba722c524,2023-04-14 01:36:25+00:00,17,508,306,814,False
5570,f576744562fca284f773da88406e84ab8fce0a6c,2023-04-14 01:37:41+00:00,28,3446,4034,7480,False
5572,77e056357bc7a4319df868962ef8df85f994352c,2023-04-14 02:56:25+00:00,9,716,26,742,False
5575,ccebd3ccc53add69c1bb847f69be9d8bf582b701,2023-04-14 04:08:04+00:00,13,99,123,222,False
5577,4834f55f2347edccb2ef9859ee994f5c9b322a77,2023-04-14 07:28:09+00:00,19,41,72,113,False
5589,156b51fa3842bcdf5584a15c21fdb58eb4c7d6d1,2023-04-17 06:06:00+00:00,14,579,579,1158,False
5599,4bba7386720ed08c3f9bf89e66a41a1abf3c4912,2023-04-18 06:11:05+00:00,20,242,155,397,False
5603,ee7d476ad4248beac4b1215036f40735d898cd42,2023-04-18 08:40:14+00:00,2,553,2,555,False
5613,01475fe835b507b20cf181a141aa2b7791249d5f,2023-04-19 06:44:59+00:00,28,405,433,838,False
5614,f580d58fa947d09d3084765c25b21a2c7c31ce25,2023-04-19 07:50:02+00:00,24,159,151,310,False
5623,6ccd69674e5a4d8fce8c1c6785e21c3d3dd6554e,2023-04-13 04:18:43+00:00,20,86,5197,5283,False
5627,d02c17e77bb888a9e59c1e1d9806ce85dfa44c34,2023-04-13 09:01:21+00:00,12,66,210,276,False
5629,e9451c0dd11fe45fd46dd3d7104d41cd767ecc18,2023-04-13 10:12:14+00:00,18,90,1095,1185,False
5630,9d57409c520ed13bfe35924faad3c2214c76b6cd,2023-04-13 10:48:45+00:00,14,56,872,928,False
5634,4a688fc8378172834a4db773136fb65857f90cb9,2023-04-14 04:29:33+00:00,15,27,69,96,False
5635,a5a133fc83538764f69de5098a74698d2786059d,2023-04-14 05:29:40+00:00,14,3757,68,3825,False
5637,01a669851f759dfdb22973fb884f7e9751e836c3,2023-04-17 07:09:27+00:00,18,242,832,1074,False
5655,86d6caa93f9fcb4e6aacfa199876a842e351291a,2023-04-19 04:15:06+00:00,14,1390,422,1812,False
5686,91e4c2b0683f21bcac04cd5d9a2f957dc3977419,2023-04-24 02:30:05+00:00,6,106,297,403,False
5690,9691c56ac0a288fac7cd2847bca44e9858cec823,2023-04-24 03:14:59+00:00,8,827,285,1112,False
5697,7992744141967212e4c82e38534f809bd3ec9a18,2023-04-24 04:48:39+00:00,10,390,454,844,False
5730,f24c7749848099121502f6683cb9f9e16948f70b,2023-04-27 07:56:53+00:00,16,5,3719,3724,False
5733,63cd6bc8056f9f927516198ab6ccdfd7e7887ecd,2023-04-28 02:31:05+00:00,28,176,456,632,False
5736,a1ef827071cc827452d3ce8bebf8b52c6e3f772d,2023-04-28 03:45:08+00:00,28,0,68572,68572,False
5744,8b37e477c33e18b11480b69cc277a6ebd0c8a187,2023-04-28 11:18:19+00:00,13,1,302,303,False
5749,8daeddeaea76779c0dd3d3b750d19cff6087e1ca,2023-04-29 05:51:22+00:00,16,76,22,98,False
5767,b56c6a31fb7d0c045ac583a8abbfa96b851578ac,2023-05-02 04:12:22+00:00,25,301,1005,1306,False
5768,b5dbd2921402a7efcab5cd5867b933db5500d995,2023-05-02 05:40:42+00:00,180,1877,1306,3183,False
5770,87df6dba36cbdee10d6c7890d301aa0e74f0c034,2023-05-02 05:42:40+00:00,28,157,1249,1406,False
5773,e0d323db2b7400747cde64441fa1378f12abddc8,2023-05-03 01:54:22+00:00,254,23018,25285,48303,False
5775,c58a1103a4991b1608e9bf21edb45281be3547cf,2023-05-03 04:12:57+00:00,13,80,49,129,False
5779,90e5bcf8686b2b1a038d0c2d3ce7e768a60bd686,2023-05-03 06:36:12+00:00,21,64,1574,1638,False
5785,d142d7433dca1ae9561101511290cbc94dd19577,2023-05-04 06:44:14+00:00,35,33,174,207,False
5788,87f837e6f7f84daa99d75da888cae4a0ff870080,2023-05-04 12:47:24+00:00,10,18,370,388,False
5796,ba82c8098540e22e6632db51ae22af6c0352a341,2023-05-05 04:26:47+00:00,64,4059,14,4073,False
5809,82fd915ac250a87d3b3f666c9adf77538aa8f1b3,2023-05-08 02:09:19+00:00,29,113,65,178,False
5811,49689c5c14c4694412d06afebfc5e5dcdb4fc857,2023-05-08 04:51:29+00:00,14,32,92,124,False
5824,b8cd9a95da5740bf1cb51030f7475f25c274dde7,2023-05-08 13:40:37+00:00,37,1608,173,1781,False
5832,155a670ffdb6048fb2d4cd468e9fd1e8df5f42e1,2023-05-09 08:21:11+00:00,15,257,253,510,False
5839,3e42160ba50dee513e7c78b03181633a50e71ccf,2023-05-10 03:08:07+00:00,19,3411,2,3413,False
5850,5fdbd4ada4332eb684da1d956737ef21a7afcb74,2023-05-10 02:49:05+00:00,12,19,110,129,False
5874,0f7f304ff17b5de94b890136de2930f7bf459be7,2023-05-16 02:04:43+00:00,7,276,2691,2967,False
5878,1a2b98aea81fd0365d106dfaf58b1e2a3886a871,2023-05-16 06:41:28+00:00,88,267,293,560,False
5904,d98e7692abb14ce0d349d154c235082c2fb257b6,2023-05-18 09:30:15+00:00,75,650,3134,3784,False
5907,fc0dc8f82f355449bd2f5633d7de184b72f06c85,2023-05-19 07:09:09+00:00,12,177,268,445,False
5920,e9347e99240ef5e4d5f5df4e0bf4ca92507fa500,2023-05-22 07:17:07+00:00,33,119,406,525,False
5925,abc8b16073245a61a3179ae1707f28a95c99713c,2023-05-23 01:37:00+00:00,144,5600,5988,11588,False
5933,ad62dd88622698fe622d0dd7e0e05d73345c92db,2023-05-23 10:53:13+00:00,10,54,352,406,False
5955,e015cc52c4991ac797c62f67c0a08bcb58752d1b,2023-05-29 01:15:55+00:00,613,49707,37637,87344,False
5961,9b97c5110dfa62d586eb36db342651d3afebffa9,2023-05-29 09:23:07+00:00,17,718,612,1330,False
